"Overall"
"Suburb",0.00722405992667695
"Rooms",0.0811592150157536
"Price",0.049740394191459
"Method",0.000277373646025008
"SellerG",0.00274576684968575
"Distance",0.0110798504996651
"Postcode",0.0136725025364807
"Bedroom2",0.000485507511891835
"Bathroom",0.000211532951451896
"Car",0.00232036368502565
"Landsize",0.0543711373134522
"BuildingArea",0.0747819638177929
"YearBuilt",0.215065530965441
"CouncilArea",0.0124388873186648
"Days.diff",0.00222950008586569
"Dist.bucket",0.00546499419675667
